iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
230,3.42,4.88,6.24,7.88,10.59,12.74,14.88,17.49
231,3.42,4.88,6.24,7.88,10.65,12.74,14.96,17.49
232,3.42,4.88,6.28,7.88,10.65,12.81,14.96,17.56
233,3.42,4.88,6.28,7.88,10.73,12.81,14.96,17.56
234,3.42,4.88,6.28,7.88,10.84,12.81,14.96,17.64
235,3.42,4.88,6.28,7.88,10.84,12.81,15.03,17.64
236,3.42,4.88,6.28,7.88,10.84,12.81,15.03,17.64
237,3.42,4.88,6.28,7.88,10.84,12.81,15.03,17.79
238,3.42,4.88,6.28,7.88,10.91,12.88,15.12,17.79
239,3.42,4.88,6.28,7.88,10.91,12.88,15.12,17.97
240,3.42,4.88,6.28,7.88,10.91,12.88,15.12,17.97
241,3.42,4.88,6.28,7.88,10.91,13.06,15.19,18.12
242,3.42,4.88,6.28,7.88,10.97,13.06,15.19,18.12
243,3.42,4.88,6.28,7.88,10.97,13.1,15.28,18.12
244,3.42,4.88,6.28,7.94,11.02,13.1,15.28,18.12
245,3.42,4.88,6.33,8.0,11.02,13.1,15.35,18.12
246,3.42,4.88,6.33,8.0,11.02,13.1,15.35,18.22
247,3.42,4.88,6.33,8.0,11.02,13.18,15.35,18.22
248,3.42,4.88,6.33,8.0,11.02,13.18,15.48,18.31
249,3.42,4.88,6.33,8.0,11.07,13.18,15.48,18.31
250,3.42,4.88,6.33,8.0,11.07,13.26,15.48,18.4
251,3.42,4.91,6.33,8.06,11.07,13.33,15.48,18.4
252,3.42,4.91,6.33,8.06,11.07,13.33,15.48,18.69
253,3.42,4.91,6.37,8.11,11.07,13.39,15.48,18.69
254,3.42,4.91,6.37,8.17,11.07,13.39,15.48,18.78
255,3.42,4.91,6.37,8.17,11.14,13.39,15.55,18.86
256,3.42,4.91,6.37,8.17,11.14,13.39,15.55,19.02
257,3.42,4.91,6.37,8.17,11.14,13.46,15.55,19.1
258,3.45,4.91,6.42,8.17,11.14,13.46,15.63,19.1
259,3.45,4.91,6.42,8.17,11.14,13.46,15.63,19.1
260,3.45,4.91,6.42,8.23,11.14,13.46,15.63,19.1
261,3.45,4.91,6.42,8.23,11.19,13.46,15.72,19.27
262,3.45,4.91,6.47,8.23,11.19,13.46,15.77,19.36
263,3.45,4.91,6.52,8.23,11.19,13.46,15.83,19.36
264,3.45,4.91,6.57,8.23,11.26,13.46,15.88,19.36
265,3.45,4.91,6.57,8.23,11.32,13.46,15.88,19.43
266,3.45,4.91,6.57,8.23,11.39,13.46,15.88,19.51
267,3.45,4.95,6.57,8.23,11.39,13.59,15.88,19.61
268,3.47,4.95,6.62,8.23,11.39,13.67,15.88,19.61
269,3.47,4.95,6.62,8.28,11.39,13.67,15.88,19.89
270,3.47,4.95,6.67,8.28,11.39,13.67,15.88,19.96
271,3.47,4.95,6.72,8.28,11.48,13.67,15.88,20.11
272,3.47,4.95,6.72,8.28,11.55,13.67,15.88,20.24
273,3.47,4.95,6.72,8.28,11.55,13.77,15.88,20.33
274,3.47,4.95,6.72,8.34,11.55,13.77,15.88,20.41
275,3.47,4.95,6.72,8.4,11.55,13.77,15.95,20.41
276,3.47,4.95,6.72,8.4,11.55,13.85,16.02,20.62
277,3.5,4.95,6.72,8.4,11.68,13.85,16.02,20.62
278,3.5,4.95,6.72,8.4,11.68,13.93,16.02,20.62
279,3.5,4.95,6.72,8.4,11.68,13.93,16.02,20.62
280,3.5,4.95,6.72,8.46,11.68,13.93,16.02,20.62
281,3.5,4.95,6.72,8.52,11.75,13.93,16.02,20.81
282,3.5,4.95,6.77,8.56,11.75,14.0,16.02,20.81
283,3.5,4.95,6.77,8.62,11.75,14.0,16.21,20.91
284,3.5,4.95,6.82,8.62,11.75,14.0,16.21,21.04
285,3.5,4.95,6.82,8.62,11.75,14.0,16.21,21.23
286,3.5,4.95,6.82,8.68,11.75,14.0,16.29,21.46
287,3.5,4.95,6.82,8.68,11.75,14.0,16.29,21.46
288,3.5,4.95,6.82,8.68,11.75,14.0,16.29,21.46
289,3.5,4.99,6.87,8.68,11.8,14.0,16.35,21.46
290,3.5,4.99,6.87,8.68,11.8,14.0,16.35,21.46
291,3.5,5.03,6.87,8.68,11.8,14.08,16.35,21.56
292,3.5,5.03,6.87,8.68,11.8,14.14,16.35,21.56
293,3.5,5.03,6.87,8.68,11.8,14.14,16.46,21.79
294,3.5,5.03,6.87,8.68,11.8,14.21,16.64,21.79
295,3.5,5.03,6.87,8.68,11.8,14.21,16.72,22.05
296,3.5,5.03,6.87,8.68,11.8,14.28,16.79,22.05
297,3.5,5.03,6.92,8.68,11.8,14.33,16.79,22.05
298,3.5,5.03,6.92,8.73,11.8,14.33,16.79,22.23
299,3.5,5.03,7.02,8.73,11.92,14.4,16.85,22.42
300,3.5,5.03,7.02,8.73,11.92,14.4,16.94,22.51
301,3.5,5.03,7.02,8.73,12.02,14.53,17.03,22.51
302,3.5,5.03,7.02,8.79,12.02,14.53,17.03,22.63
303,3.5,5.03,7.02,8.79,12.02,14.53,17.16,22.84
304,3.56,5.03,7.02,8.79,12.09,14.6,17.33,22.84
305,3.56,5.03,7.07,8.79,12.14,14.68,17.4,22.92
306,3.56,5.03,7.07,8.85,12.19,14.68,17.48,23.01
307,3.56,5.03,7.07,8.85,12.23,14.68,17.64,23.01
308,3.56,5.03,7.12,8.85,12.23,14.68,17.64,23.01
309,3.56,5.03,7.12,8.91,12.23,14.74,17.71,23.09
310,3.56,5.03,7.12,8.91,12.23,14.74,17.71,23.09
311,3.59,5.03,7.12,8.97,12.23,14.95,17.78,23.09
312,3.59,5.03,7.12,8.97,12.23,15.1,17.85,23.24
313,3.59,5.03,7.12,8.97,12.23,15.1,17.9,23.24
314,3.59,5.03,7.12,8.97,12.28,15.1,17.9,23.36
315,3.59,5.03,7.17,8.97,12.28,15.1,17.9,23.58
316,3.59,5.03,7.27,8.97,12.33,15.1,17.9,23.76
317,3.59,5.03,7.27,8.97,12.37,15.1,17.99,23.85
318,3.59,5.03,7.27,9.02,12.37,15.1,18.11,23.89
319,3.59,5.03,7.27,9.02,12.37,15.1,18.18,24.15
320,3.62,5.03,7.27,9.02,12.44,15.1,18.18,24.15
321,3.62,5.03,7.27,9.08,12.44,15.16,18.31,24.24
322,3.62,5.03,7.32,9.08,12.5,15.23,18.38,24.24
323,3.62,5.07,7.32,9.08,12.5,15.28,18.38,24.24
324,3.62,5.07,7.32,9.08,12.5,15.28,18.38,24.44
325,3.62,5.07,7.32,9.08,12.5,15.42,18.46,24.54
326,3.62,5.07,7.32,9.08,12.5,15.5,18.46,24.89
327,3.62,5.07,7.37,9.08,12.5,15.58,18.46,24.89
328,3.62,5.11,7.37,9.08,12.5,15.68,18.54,25.01
329,3.62,5.11,7.42,9.08,12.6,15.68,18.54,25.21
